Date,SNE,AMD,TWTR,IBM,MU
2019/08/23,202.64,133.39,1151.29,177.75,42.96
2019/08/22,54.77,31.9,42.18,134.32,44.78
2019/08/21,56.65,31.7,42.8,134.25,44.17
2019/08/20,55.66,30.72,42.29,133,44.23
2019/08/19,55.72,31.48,41.7,135.04,45.01
2019/08/16,55.73,31.18,40.58,133.76,43.55
2019/08/15,55.02,29.67,40.09,131.92,42.24
2019/08/14,54.32,30.24,40.65,131.25,42.04
2019/08/13,56.26,32.11,41.81,135.79,44.17
2019/08/12,55.6,32.43,40.48,133.67,42.13
2019/08/09,56.11,34.19,41.53,136.13,41.52
2019/08/08,56.25,33.92,42.07,140.1,42.63
2019/08/07,55.53,29.19,41.73,139.11,41.75
2019/08/06,55,28.86,41.32,140.73,42.62
2019/08/05,53.65,27.99,40.37,140.76,41.94
2019/08/02,54.98,29.44,42.85,147.25,44.08
2019/08/01,55.85,29.86,42.08,150.32,43.6
2019/07/31,56.86,30.45,42.31,148.24,44.89
2019/07/30,57.1,33.87,41,149.77,47.46
2019/07/29,54.7,33.48,41.5,150.88,46.82
2019/07/26,54.8,34.02,41.52,151.36,47.49
2019/07/25,54.55,33.67,38.12,150.39,47.77
2019/07/24,55.1,34.11,38.73,150.03,47.99
2019/07/23,54.41,33.49,37.9,150.38,46.95
2019/07/22,53.8,32.85,37.58,149.74,47.19
2019/07/19,53.66,32.51,36.77,149.68,45.52
2019/07/18,53.95,33,37.66,149.63,44.67
2019/07/17,54.37,33.6,37.7,143.07,43.37
2019/07/16,53.99,33.85,37.99,143.53,43.06
2019/07/15,55.77,34.39,38.68,143.32,44.4
2019/07/12,55.77,33.21,37.84,142.74,44.51
2019/07/11,55.02,33.06,37.21,141.24,43.48
2019/07/10,54.78,33.79,37.47,140.47,42.9
2019/07/09,54.38,33.15,37.65,139.33,41.35
2019/07/08,54.66,32.04,36.45,140.57,40.41
2019/07/05,55.03,31.5,36.25,141.38,39.42
2019/07/03,54.72,31.19,36.02,141.54,39.59
2019/07/02,53.68,31.24,36.22,140.22,39.6
2019/07/01,53.71,31.2,36.08,139.88,40.11
2019/06/28,52.39,30.37,34.9,137.9,38.59
2019/06/27,52.7,30.74,34.75,138.52,38.07
2019/06/26,52.46,29.92,35.22,138.52,37.04
2019/06/25,52.55,28.86,34.72,138.36,32.68
2019/06/24,53.15,29.26,35.58,139.35,33.19
2019/06/21,53.24,29.1,35.02,139.2,33.25
2019/06/20,53.94,30.01,35.44,138.85,34.15
2019/06/19,52.98,30.5,36.29,137.08,33.94
2019/06/18,52.21,30.45,36.65,136.38,34.29
2019/06/17,52.1,29.2,36.44,134.95,32.43
2019/06/14,51.33,30.36,36.15,135.15,32.66
2019/06/13,49.67,31.39,36.34,135.76,33.38
2019/06/12,49.38,32.18,37.49,134.87,32.96
2019/06/11,49.82,32.41,37.21,135.95,34.84
2019/06/10,49.62,33.23,37.64,134.74,34.94
2019/06/07,48.86,32.41,37.93,133.31,33.99
2019/06/06,47.45,31.82,36.59,132.22,33.47
2019/06/05,48.11,29.5,36.33,131.49,33.34
2019/06/04,48.13,29.57,36.1,132.69,34.49
2019/06/03,47.78,27.58,34.43,128.27,32.69
2019/05/31,48,27.41,36.44,126.99,32.61
2019/05/30,48.53,28.03,37.14,129.57,33.32
2019/05/29,48.23,28.09,36.85,129.69,33.29
2019/05/28,49.17,29.03,37.29,130.46,32.94
2019/05/24,48.98,26.44,37.41,132.28,34
2019/05/23,48.34,26.36,37.19,132.39,33.82
2019/05/22,50.49,27.41,38.58,136.35,34.73
2019/05/21,51.03,27.35,37.47,136.45,35.64
2019/05/20,52.2,26.68,37.15,135.12,34.62
2019/05/17,52.61,27.5,37.5,134.32,36.06
2019/05/16,52,28.01,38.3,135.88,37.31
2019/05/15,49.94,27.58,37.9,134.4,38.41
2019/05/14,48.44,27.32,36.93,133.31,38.51
2019/05/13,48.03,26.24,36.59,131.42,37.38
2019/05/10,49.7,27.96,38.45,135.32,38.94
2019/05/09,48.75,27.21,38.79,135.34,39.27
2019/05/08,48.75,27.09,38.58,138,39.75
2019/05/07,48.89,26.66,38.62,137.64,40.26
2019/05/06,51.22,27.42,40.23,140.38,42.13
2019/05/03,52.25,28.22,40.8,140.25,43.33
2019/05/02,51.46,28.29,39.95,139.59,42.56
2019/05/01,51.36,26.81,39.29,140.56,41.9
2019/04/30,50.37,27.63,39.91,140.27,42.06
2019/04/29,50.25,27.69,39.78,139.05,42.11
2019/04/26,50.24,27.88,38.67,139.44,42.1
2019/04/25,46.66,27.66,38.48,138.63,42.75
2019/04/24,46.46,28.46,39.29,139.95,43.03
2019/04/23,48.3,27.97,39.77,140.44,42.77
2019/04/22,47.61,28.18,34.39,138.89,43.4
2019/04/18,47.86,27.68,34.4,140.33,43.4
2019/04/17,47.74,27.49,34.48,139.11,43.15
2019/04/16,47.95,27.93,34.46,145.14,42.76
2019/04/15,47.31,27.33,34.71,143.9,41.82
2019/04/12,46.99,27.85,34.37,144.35,42.01
2019/04/11,46.25,27.79,34.58,143.78,42.28
2019/04/10,46.08,27.83,34.75,143.02,42.17
2019/04/09,46.19,27.24,35.14,142.11,41.72
2019/04/08,46.6,28.53,34.86,143.39,42.9
2019/04/05,43.07,28.98,34.72,143.28,43.32
2019/04/04,42.52,29.09,34.42,142.78,42.89
2019/04/03,42.39,29.02,34.38,143.63,43.9
2019/04/02,42.17,26.75,33.75,143,42.44
2019/04/01,42.98,26.36,33.44,143.3,42.25
2019/03/29,42.24,25.52,32.88,141.1,41.33
2019/03/28,42.4,25.06,32.87,139.92,39.34
2019/03/27,42.79,24.89,32.28,139.24,39.23
2019/03/26,42.73,25.69,33.06,140.22,40.32
2019/03/25,42.15,25.97,32.59,139.18,40.55
2019/03/22,42.03,26.37,33.02,139.45,41.62
2019/03/21,44.01,27.89,32.61,141.44,43.99
2019/03/20,43.28,25.7,32.57,139.6,40.13
2019/03/19,45.53,26,31.27,140.49,40.37
2019/03/18,46.08,23.25,31.08,140.21,39.61
2019/03/15,46.25,23.29,31.22,139.43,39.54
2019/03/14,46.12,22.82,31.03,138.79,38.41
2019/03/13,46.66,23.38,31.3,138.56,38.83
2019/03/12,46.31,23.49,31.16,138.28,39.25
2019/03/11,46.1,22.96,30.87,137.71,39.03
2019/03/08,45.95,22.01,30.04,135.09,38.65
2019/03/07,46.4,22.08,30.12,135.36,37.83
2019/03/06,47.53,22.41,30.8,136.98,37.93
2019/03/05,47.66,23.5,31.03,137.88,39.99
2019/03/04,47.62,23.37,30.5,138.43,41.06
2019/03/01,47.89,23.68,30.62,139.2,41.58
2019/02/28,47.99,23.53,30.78,138.13,40.88
2019/02/27,48.43,23.48,30.41,139.17,41.32
2019/02/26,48.19,24.21,31.01,139.72,42.96
2019/02/25,48.46,24.71,31.99,139.46,42.75
2019/02/22,47.89,24.36,31.71,139.25,42.57
2019/02/21,47.64,23.92,30.76,137.84,41.53
2019/02/20,46.88,23.95,31.37,138,42.21
2019/02/19,46.22,23.95,31.65,138.7,41.96
2019/02/15,45.79,23.68,31.23,138.03,41.99
2019/02/14,45.12,23.13,30.96,136.48,42.23
2019/02/13,45.06,22.85,31.12,137.52,41.68
2019/02/12,44.28,22.82,30.39,136.05,40.4
2019/02/11,44.59,22.96,30.23,133.99,38.58
2019/02/08,44.29,23.05,30.01,133.71,38.58
2019/02/07,43.06,22.67,30.8,133.19,39.38
2019/02/06,44.22,23.26,34.16,136.32,41.52
2019/02/05,45.86,23.31,34.37,135.55,39.37
2019/02/04,46.29,24.13,33.94,135.19,39.47
2019/02/01,46.15,24.51,33.19,134.1,39.6
2019/01/31,50.12,24.41,33.56,134.42,38.22
2019/01/30,49.2,23.09,32.26,134.38,38.24
2019/01/29,48.78,19.25,31.64,134.33,37.39
2019/01/28,48.83,20.18,33.13,134.27,38.08
2019/01/25,48.76,21.93,32.9,133.97,38.96
2019/01/24,48.37,20.85,31.61,132.53,36.59
2019/01/23,48.46,19.8,30.97,132.89,34.24
2019/01/22,48.47,19.76,32.25,122.52,33.87
2019/01/18,50.18,20.77,33.27,123.82,35.76
2019/01/17,49.51,20.25,32.85,122.19,33.88
2019/01/16,49.61,19.73,32.47,121.62,33.58
2019/01/15,49.84,20.38,33.02,121.73,33.99
2019/01/14,48.42,20.23,32.37,120.39,34.67
2019/01/11,48.98,20.27,32.87,121.46,36.01
2019/01/10,49.1,19.74,33.09,121.79,35.91
2019/01/09,49.93,20.19,32.25,120.69,35.44
2019/01/08,49.89,20.75,31.8,119.83,33.74
2019/01/07,49.72,20.57,31.34,118.15,34
2019/01/04,49.21,19,29.95,117.32,32.7
2019/01/03,47.02,17.05,27.99,112.91,31
2019/01/02,48.72,18.83,28.81,115.21,32.75
2018/12/31,48.28,18.46,28.74,113.67,31.73
2018/12/28,48.14,17.82,28.43,113.03,31.57
2018/12/27,48.53,17.49,28.68,113.78,31.93
2018/12/26,47.62,17.9,28.66,111.39,30.89
2018/12/24,45.88,16.65,26.45,107.57,29.02
2018/12/21,46.73,16.93,27.31,110.94,30.32
2018/12/20,48.27,17.94,29.29,113.02,31.28
2018/12/19,48.76,18.16,32.93,116.43,31.41
2018/12/18,49.39,19.5,33.74,116.65,34.11
2018/12/17,50.5,18.83,33.43,116.1,33.88
2018/12/14,51.29,19.9,35.87,119.9,34.2
2018/12/13,52.2,19.86,35.89,120.73,35.02
2018/12/12,52.62,20.48,36.25,121.16,36.03
2018/12/11,51.15,19.98,34.45,120.89,35.21
2018/12/10,51.11,19.99,33.43,121.13,34.8
2018/12/07,51.13,19.46,32.83,119.34,35.31
2018/12/06,51.86,21.3,32.96,123.91,37.67
2018/12/04,51.51,21.12,32.56,121.6,36.88
2018/12/03,54.17,23.71,33.66,125.31,40.03
2018/11/30,52.82,21.3,31.45,124.27,38.56
2018/11/29,51.88,21.43,31.3,121.48,37.91
2018/11/28,52.91,21.34,32.73,123,38.71
2018/11/27,51.37,21.05,32.61,120.03,37
2018/11/26,51.02,20.08,32.82,119.56,36.57
2018/11/23,49.69,19.38,31.12,117.19,36.4
2018/11/21,50.52,18.73,31.61,118.57,36.38
2018/11/20,49.53,19.21,31.06,117.2,36.12
2018/11/19,50.99,19.11,31.98,120.31,36.83
2018/11/16,50.81,20.66,33.67,121.57,39.44
2018/11/15,51.65,21.49,33.15,121.44,39.91
2018/11/14,51.14,20.81,32.91,120.2,38.03
2018/11/13,51.24,19.61,32.49,120.84,37.85
2018/11/12,51.53,19.03,32.01,120.9,37.44
2018/11/09,54.07,21.03,34.08,123.54,39.11
2018/11/08,54.41,21.2,34.18,123.38,40.44
2018/11/07,55.26,21.84,34.99,124.84,40.93
2018/11/06,53.5,20.68,34.42,123.12,39.8
2018/11/05,53.32,19.9,34.02,120.06,39.92
2018/11/02,53.66,20.23,34.3,115.67,40.32
2018/11/01,55.66,20.22,34.62,116.83,40.12
2018/10/31,54.13,18.21,34.75,115.43,37.72
2018/10/30,53.43,17.2,33.86,115.4,36.01
2018/10/29,51,16.85,32.39,119.64,34.66
2018/10/26,52.41,17.63,32.36,124.79,35.4
2018/10/25,53.48,19.27,31.8,126.45,36.78
2018/10/24,53.08,22.79,27.54,127.21,35.43
2018/10/23,55.07,25.09,28.77,131.21,38.68
2018/10/22,55.78,25.03,29.18,130.02,39.76
2018/10/19,55.67,23.66,28.83,129.1,40.45
2018/10/18,56.03,26.62,29.29,130.55,41.3
2018/10/17,57.9,27.3,29.55,134.05,42.35
2018/10/16,57.5,28.18,29.87,145.12,43.21
2018/10/15,56.25,26.26,28.61,141.13,42.34
2018/10/12,55.51,26.34,27.99,140.85,42.47
2018/10/11,55.52,25.3,27,139.02,41.97
2018/10/10,56.1,25,26.79,142.69,41.61
2018/10/09,57.97,27.24,29.27,147.24,42.27
2018/10/08,57.07,26.46,28.45,148.39,43.07
2018/10/05,57.23,27.35,28.39,149.03,43.58
2018/10/04,57.07,27.78,28.23,151.31,44.16
2018/10/03,58.32,28.43,29.01,153.22,45.15
2018/10/02,59.82,29.02,28.19,153.75,45.76
2018/10/01,60.58,31.42,28.31,153,45.15
2018/09/28,60.65,30.89,28.46,151.21,45.23
2018/09/27,59.53,32.59,29.42,151.5,44.99
2018/09/26,59.45,32.19,29.01,151.61,44.35
2018/09/25,58.53,32.57,29.11,148.91,44.64
2018/09/24,56.85,32.61,28.6,150.03,45.16
2018/09/21,57,31.02,28.5,151.35,44.74
2018/09/20,59.1,31.18,29.85,151.15,46.06
2018/09/19,59,31.21,29.52,149.06,45.06
2018/09/18,59.83,31.93,29.22,148.56,45.33
2018/09/17,59.29,32.43,28.86,147.94,43.58
2018/09/14,59.44,32.72,30.12,148.33,44.3
2018/09/13,57.76,30.48,30.39,148.95,43.62
2018/09/12,57.47,32.21,29.75,146.57,41.74
2018/09/11,56.85,30.1,30.89,146.49,43.6
2018/09/10,56.68,29.89,30.54,145.65,44.9
2018/09/07,56.53,27.38,30.49,145.45,44.86
2018/09/06,56.36,27.84,30.81,146.39,44.65
2018/09/05,55.5,28.51,32.73,146.66,49.54
2018/09/04,56.18,28.06,34.84,145.68,51.93
2018/08/31,56.83,25.17,35.18,146.48,52.52
2018/08/30,56.68,24.89,35.64,145.93,52.76
2018/08/29,57.07,25.2,35.35,147.54,51.83
2018/08/28,55.77,25.05,35.49,146.59,52.34
2018/08/27,56.02,25.26,35.89,146.69,52.07
2018/08/24,54.54,23.98,34.28,146.04,50.7
2018/08/23,54.41,22.29,33.88,145.37,49.7
2018/08/22,54.62,20.9,33.81,145.24,50.24